run_total_time_s,init_time_s,ndsort_time_s,crowd_time_s,hv_time_s,crossover_time_s,mutation_time_s,evaluation_time_s,ndsort_calls,crowd_calls,hv_calls,crossover_calls,mutation_calls,evaluation_calls,best_crossover_time_s,eval_slower_than_best_crossover_calls,run_id,seed,final_pareto_size,final_feasible_pareto_size,eval_over_crossover_ratio
9.573548008920625,0.015572295058518648,3.62097131065093,0.02590416045859456,0.0,0.403429442550987,0.12526802043430507,2.702698262175545,800,800,0,8344,7205,34222,,0,0,1000,57,57,6.699308422027149
9.65072927204892,0.014740326907485723,3.6462371577508748,0.024192738346755505,0.0,0.40669928886927664,0.1267122020944953,2.6828234838321805,800,800,0,8353,7244,33940,,0,1,1001,58,58,6.5965777596786195
9.391262531047687,0.014302907045930624,3.4294685658533126,0.026238706428557634,0.0,0.3849489875137806,0.12651793705299497,2.734624408185482,800,800,0,8366,7276,35282,,0,2,1002,57,57,7.103861802176026
9.369317400967702,0.014352661091834307,3.5421233305241913,0.02530306368134916,0.0,0.42877294961363077,0.12514920881949365,2.6144636552780867,800,800,0,8411,7178,33270,,0,3,1003,56,56,6.097548032435329
9.518274852074683,0.014824924990534782,3.4110198318958282,0.024579579941928387,0.0,0.43324730009771883,0.1258875287603587,2.8424436412751675,800,800,0,8446,7227,36047,,0,4,1004,57,57,6.560787893274938
9.437613311922178,0.014621966052800417,3.4306246645282954,0.02586488681845367,0.0,0.4118932392448187,0.12537064659409225,2.77490800479427,800,800,0,8379,7167,35326,,0,5,1005,56,56,6.736959338982829
9.307543904986233,0.013935279101133347,3.505202434491366,0.025341918459162116,0.0,0.4189708102494478,0.12380008609034121,2.6627014679834247,800,800,0,8402,7181,34195,,0,6,1006,58,58,6.355338851406138
9.417659930884838,0.01396355195902288,3.6655428463127464,0.02559546008706093,0.0,0.4402873713988811,0.12603340414352715,2.5861672800965607,800,800,0,8345,7272,33090,,0,7,1007,58,58,5.873816620903274
9.422323785023764,0.013953824061900377,3.6242666055914015,0.025476327165961266,0.0,0.3989597144536674,0.12429384863935411,2.605639667250216,800,800,0,8434,7183,33357,,0,8,1008,60,60,6.531084650535106
9.414548022206873,0.014543978963047266,3.3505795593373477,0.024180333828553557,0.0,0.43137891637161374,0.12882756465114653,2.733826717827469,800,800,0,8445,7316,35558,,0,9,1009,58,58,6.337413846791713
9.389110139105469,0.014715360011905432,3.4900669367052615,0.026393962325528264,0.0,0.43653142219409347,0.12515757139772177,2.5912358458153903,800,800,0,8441,7197,33799,,0,10,1010,58,58,5.935966379673943
9.242236749036238,0.014269124949350953,3.6050635527353734,0.026344590354710817,0.0,0.4340628986246884,0.12436094740405679,2.4886648484971374,800,800,0,8449,7214,33036,,0,11,1011,56,56,5.733419871595514
9.357012872118503,0.013562591979280114,3.7731578608509153,0.025675628101453185,0.0,0.40766867133788764,0.12316999421454966,2.4842309639789164,800,800,0,8467,7197,33379,,0,12,1012,58,58,6.093749995127571
9.469933709129691,0.01441460708156228,3.4058846870902926,0.0240250825881958,0.0,0.41074858070351183,0.1268464841414243,2.7652669346425682,800,800,0,8340,7240,35494,,0,13,1013,58,58,6.732261691340096
9.568350854096934,0.014601616887375712,3.4715423975139856,0.024818736594170332,0.0,0.42494251020252705,0.1247992308344692,2.722222526324913,800,800,0,8412,7155,34769,,0,14,1014,59,59,6.406096027030822
9.622591621009633,0.014983261935412884,3.6046889333520085,0.025460119592025876,0.0,0.41472328593954444,0.12774891522713006,2.6925910075660795,800,800,0,8399,7305,33666,,0,15,1015,58,58,6.492500177476379
9.630695866886526,0.014939110027626157,3.557383533101529,0.025207915576174855,0.0,0.47022697050124407,0.127182318829,2.6607639563735574,800,800,0,8327,7218,33718,,0,16,1016,56,56,5.6584673429881835
9.51816664985381,0.014782625949010253,3.4205777423921973,0.025578418048098683,0.0,0.45417168620042503,0.14753784891217947,2.7655108240433037,800,800,0,8454,7194,35839,,0,17,1017,57,57,6.089130846485418
9.436711279908195,0.014218019088730216,3.48336083907634,0.025240464601665735,0.0,0.45984458085149527,0.12590783857740462,2.709569262806326,800,800,0,8470,7274,34771,,0,18,1018,56,56,5.892358800421244
9.3235478841234,0.013749211095273495,3.500973373884335,0.02533921878784895,0.0,0.41564597259275615,0.12451690621674061,2.700981429545209,800,800,0,8313,7218,34906,,0,19,1019,58,58,6.498274030412875
9.477983474032953,0.014483597129583359,3.404493436217308,0.025746390456333756,0.0,0.44317554752342403,0.12677468918263912,2.720138220116496,800,800,0,8397,7245,35048,,0,20,1020,58,58,6.1378346240385095
9.262131821131334,0.013745934935286641,3.4102118453010917,0.02507473318837583,0.0,0.4695999138057232,0.12371799745596945,2.67143493774347,800,800,0,8392,7187,35041,,0,21,1021,59,59,5.688746652642406
9.665898025035858,0.014624329982325435,3.5085667732637376,0.02549217129126191,0.0,0.3836753382347524,0.12777118268422782,2.856166061013937,800,800,0,8376,7218,35009,,0,22,1022,57,57,7.444226345521293
9.618303593015298,0.014611286111176014,3.414022537879646,0.025324143934994936,0.0,0.49916173540987074,0.1279602323193103,2.812900657998398,800,800,0,8396,7272,35696,,0,23,1023,56,56,5.6352489753419786
9.384794970043004,0.014177192002534866,3.5264937723986804,0.02624660637229681,0.0,0.5261134104803205,0.12440052977763116,2.655987200094387,800,800,0,8389,7183,33567,,0,24,1024,59,59,5.048316859419297
9.448607061989605,0.013463665964081883,3.700411387719214,0.026287314482033253,0.0,0.45283228321932256,0.12330665020272136,2.565998428268358,800,800,0,8342,7172,33407,,0,25,1025,58,58,5.6665536521068995
